Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
797bdeed-3cbc-4db2-b9f8-30211139d0e7,B,Yangon,Member,Female,Sports and travel,16.04,10,8.02,168.42,04/07/2024,11:13:58,Ewallet,160.4,4.76,8.02,1.6
b9f8a4d3-2555-44e0-9cfa-79c945d2ebbe,C,Naypyitaw,Normal,Male,Food and beverages,35.77,8,14.31,300.47,04/19/2024,07:57:23,Credit card,286.16,4.76,14.31,1.2
6e1a8f51-f6f4-4b4c-872a-42f8c6ed3ce6,C,Naypyitaw,Normal,Female,Food and beverages,81.12,8,32.45,681.41,08/13/2024,09:58:17,Credit card,648.96,4.76,32.45,2.1
5983f6ac-6914-4f0d-a74b-b2bb59f80566,A,Naypyitaw,Normal,Female,Health and beauty,10.49,2,1.05,22.03,11/18/2024,10:52:26,Credit card,20.98,4.77,1.05,7.5
9013e5aa-a226-4faa-8ccb-a52fb585dddd,A,Mandalay,Normal,Male,Home and lifestyle,96.0,1,4.8,100.8,09/13/2024,19:38:38,Credit card,96.0,4.76,4.8,5.9
a002e1bb-fbde-41eb-9a79-a49e989067e7,B,Naypyitaw,Member,Female,Fashion accessories,32.92,1,1.65,34.57,12/08/2024,18:55:10,Cash,32.92,4.77,1.65,9.1
7af9aabe-7725-44fd-a49b-26808d729ede,B,Naypyitaw,Normal,Female,Electronic accessories,28.51,4,5.7,119.74,03/12/2024,14:42:11,Ewallet,114.04,4.76,5.7,4.9
c5577f7e-3f75-47a9-b6ec-39a633e1ecfd,B,Yangon,Member,Male,Electronic accessories,36.09,8,14.44,303.16,11/22/2024,14:07:55,Cash,288.72,4.76,14.44,4.4
92d63582-326c-424b-b64b-6f206864c1de,A,Yangon,Member,Female,Fashion accessories,54.21,4,10.84,227.68,03/15/2024,15:02:45,Cash,216.84,4.76,10.84,4.4
bed308df-c313-4494-8ac5-9bcbe4d8f1ab,A,Mandalay,Normal,Female,Home and lifestyle,35.46,6,10.64,223.4,05/09/2024,13:43:51,Cash,212.76,4.76,10.64,6.1
aee134e2-c4b7-43cc-8b5b-5a4c17f389b5,B,Yangon,Member,Female,Electronic accessories,22.26,2,2.23,46.75,02/18/2024,11:17:26,Cash,44.52,4.77,2.23,4.6
06e6bc2c-0e62-4c9f-ab7a-89d54b146117,B,Mandalay,Normal,Male,Fashion accessories,15.12,2,1.51,31.75,05/19/2024,23:06:23,Ewallet,30.24,4.76,1.51,7.4
f584264b-603b-4d23-b7c1-4f30561de862,A,Mandalay,Member,Male,Electronic accessories,17.23,7,6.03,126.64,10/14/2024,20:50:07,Cash,120.61,4.76,6.03,3.2
371acfca-8173-460e-93d0-10fa1a822ca7,B,Yangon,Member,Female,Electronic accessories,24.16,3,3.62,76.1,10/13/2024,10:20:14,Cash,72.48,4.76,3.62,3.8
19dbbe53-6825-4bee-bcb8-6b364d511a07,A,Naypyitaw,Member,Male,Sports and travel,11.99,9,5.4,113.31,02/27/2024,14:14:12,Ewallet,107.91,4.77,5.4,7.2
5958f024-38ca-4f14-b91a-52502df7cd1f,B,Naypyitaw,Member,Male,Fashion accessories,19.31,8,7.72,162.2,06/26/2024,08:09:35,Credit card,154.48,4.76,7.72,7.7
ab43605e-2db7-4aca-b1d3-200c09b54d47,C,Naypyitaw,Normal,Female,Sports and travel,42.02,5,10.51,220.61,11/19/2024,09:57:20,Cash,210.1,4.76,10.51,5.4
008325f6-b17e-4fe9-9c0a-9ae7f2ec1ea1,C,Mandalay,Normal,Male,Food and beverages,54.14,5,13.54,284.24,01/09/2025,09:59:58,Cash,270.7,4.76,13.54,8.0
ecea174c-546b-4f3e-be09-3274e249ccc2,B,Naypyitaw,Normal,Female,Food and beverages,83.62,7,29.27,614.61,03/30/2024,06:27:45,Credit card,585.34,4.76,29.27,6.9
33726492-c8ed-4e07-bf7a-52ac65ee89cf,A,Naypyitaw,Member,Male,Food and beverages,12.4,5,3.1,65.1,09/04/2024,14:26:21,Credit card,62.0,4.76,3.1,6.6
00cbb623-deb3-478c-abb1-ac60180d30ab,B,Naypyitaw,Normal,Female,Electronic accessories,51.42,2,5.14,107.98,01/11/2025,02:33:28,Ewallet,102.84,4.76,5.14,6.4
53e22340-984b-4b26-9bc7-fdb80b1a4f87,C,Yangon,Member,Male,Food and beverages,28.36,1,1.42,29.78,02/29/2024,13:46:10,Ewallet,28.36,4.77,1.42,6.0
f82a42fd-7ce3-44dd-b64c-bfd8379573de,C,Mandalay,Normal,Male,Fashion accessories,54.48,7,19.07,400.43,12/20/2024,12:59:44,Cash,381.36,4.76,19.07,3.4
6b409635-487e-441b-b1fb-e82f741e4026,C,Naypyitaw,Member,Male,Home and lifestyle,75.94,8,30.38,637.9,03/23/2024,23:43:53,Credit card,607.52,4.76,30.38,7.3
29e19d00-25a7-4ff6-bd61-61ba885003cd,C,Yangon,Normal,Male,Fashion accessories,89.8,10,44.9,942.9,03/27/2024,11:12:59,Ewallet,898.0,4.76,44.9,4.1
721cf122-c8db-428d-be0a-fa43c8c3da3e,C,Mandalay,Normal,Female,Food and beverages,44.18,5,11.05,231.95,08/28/2024,18:14:53,Credit card,220.9,4.76,11.05,6.2
3c847daf-4258-4072-8f34-3a57941875e9,B,Yangon,Member,Male,Electronic accessories,64.15,10,32.08,673.58,10/18/2024,05:19:09,Cash,641.5,4.76,32.08,3.3
2b2fc8fe-025b-4ab6-bc56-d124c3e4ef22,B,Mandalay,Member,Female,Fashion accessories,41.97,7,14.69,308.48,04/12/2024,06:58:24,Cash,293.79,4.76,14.69,4.5
2e863a19-ce75-4440-afe8-393cfe7093bf,B,Naypyitaw,Normal,Male,Sports and travel,52.2,1,2.61,54.81,12/24/2024,18:14:02,Cash,52.2,4.76,2.61,2.3
a7ddc635-ddbd-4008-8df8-21fc477e196b,B,Naypyitaw,Normal,Male,Sports and travel,67.62,7,23.67,497.01,12/07/2024,20:11:02,Cash,473.34,4.76,23.67,9.5
14840da5-93f6-41d1-9e3f-c8e74f47676d,B,Naypyitaw,Member,Male,Electronic accessories,38.93,4,7.79,163.51,02/21/2024,10:29:17,Cash,155.72,4.76,7.79,5.7
88d837d2-a8a6-4fd8-8a38-5fd05ecebb96,A,Naypyitaw,Member,Female,Home and lifestyle,55.38,2,5.54,116.3,04/30/2024,04:13:23,Credit card,110.76,4.76,5.54,4.2
9d64174a-90b0-43f5-a3c3-3f0a22b2142d,B,Yangon,Normal,Male,Sports and travel,67.68,6,20.3,426.38,10/08/2024,14:15:25,Credit card,406.08,4.76,20.3,2.7
5db7ba21-fa88-48c9-b03c-ed7326ff3d97,B,Naypyitaw,Member,Female,Sports and travel,94.82,1,4.74,99.56,01/15/2025,07:19:50,Cash,94.82,4.76,4.74,6.6
df0b7610-aebb-44ed-be6b-78908f489951,B,Yangon,Member,Female,Home and lifestyle,63.78,6,19.13,401.81,09/07/2024,04:33:48,Cash,382.68,4.76,19.13,3.7
1ed975a6-238f-4925-ac32-2ca2b5578e21,A,Mandalay,Normal,Male,Food and beverages,31.84,4,6.37,133.73,06/13/2024,19:52:04,Cash,127.36,4.76,6.37,8.9
3055e334-d76b-483c-a340-fa63674adb76,B,Naypyitaw,Normal,Female,Sports and travel,25.37,8,10.15,213.11,07/01/2024,19:17:38,Credit card,202.96,4.76,10.15,4.1
5d920199-8b6f-489a-a610-379aa37a6f27,B,Mandalay,Member,Male,Electronic accessories,16.29,7,5.7,119.73,03/11/2024,05:00:08,Cash,114.03,4.76,5.7,2.8
635bd6ae-0a15-40b0-a933-980ff28dc4e6,A,Naypyitaw,Member,Male,Food and beverages,65.71,9,29.57,620.96,11/23/2024,03:49:35,Ewallet,591.39,4.76,29.57,9.5
8a387f22-3b5f-4820-9839-34779555020f,C,Mandalay,Member,Female,Fashion accessories,95.14,5,23.79,499.49,11/06/2024,11:21:38,Credit card,475.7,4.76,23.79,2.1
4e19d251-ffb7-48d9-ad64-f036fb1a5009,C,Naypyitaw,Member,Male,Home and lifestyle,23.69,8,9.48,199.0,12/15/2024,19:25:36,Cash,189.52,4.76,9.48,1.9
809d066d-4730-41a2-bbf8-8709af2b0eaf,A,Yangon,Normal,Male,Health and beauty,73.3,2,7.33,153.93,12/02/2024,05:21:56,Ewallet,146.6,4.76,7.33,9.4
f9f5d113-69d5-4857-9eaf-7edd48d71a96,C,Yangon,Normal,Male,Electronic accessories,30.46,7,10.66,223.88,12/21/2024,15:14:14,Ewallet,213.22,4.76,10.66,9.0
b022b889-932a-438e-8f28-683177470168,B,Mandalay,Member,Female,Fashion accessories,42.78,8,17.11,359.35,06/12/2024,11:57:56,Credit card,342.24,4.76,17.11,7.0
